student_id,name,department,course, electives,year,semester,faculty
S00001,Vivaan Mehta,Electrical,PhD," Econometrics,Psychology ",1,7,Divya Yadav
S00002,Aarohi Krishnan,Mechanical,BBA," Digital Marketing,Econometrics ",4,7,Kavita Gupta
S00003,Vihaan Iyer,Mechanical,B.Tech," Cyber Security,IoT ",3,6,Monica Malhotra
S00004,Navya Babu,Electrical,MBA," Entrepreneurship,IoT ",1,3,Neha Gupta
S00005,Riya Krishnan,Civil,B.Tech," Environmental Science,Econometrics ",4,1,Varun Verma
S00006,Shaurya Saxena,Biotechnology,MBA," Econometrics,Cloud Computing ",3,4,Ramesh Reddy
S00007,Vivaan Patil,Humanities,B.Tech," Philosophy,Data Science ",3,7,Kavita Gupta
S00008,Sai Gupta,Civil,M.Sc," Philosophy,Data Science ",4,3,Suresh Gupta
S00009,Vihaan Kulkarni,Humanities,B.Sc," History,Cyber Security ",3,6,Sunita Mehta
S00010,Navya Babu,Mechanical,MBA," Econometrics,Environmental Science ",2,2,Divya Yadav
S00011,Vivaan Malhotra,Management,M.Sc," History,IoT ",1,3,Sneha Rao
S00012,Sai Singh,Civil,M.Sc," History,IoT ",2,8,Suresh Gupta
S00013,Aarav Kulkarni,Humanities,M.Tech," Robotics,Digital Marketing ",2,2,Sneha Gupta
S00014,Aarohi Singh,Economics,MBA," AI & ML,Econometrics ",4,2,Rajeev Patil
S00015,Aditi Saxena,Management,B.Tech," Data Science,AI & ML ",3,6,Sneha Saxena
S00016,Krishna Menon,Humanities,M.Sc," Econometrics,Psychology ",3,4,Ajay Saxena
S00017,Sai Mehta,Humanities,M.Sc," Environmental Science,Cyber Security ",4,1,Divya Saxena
S00018,Arjun Babu,Electrical,MBA," Psychology,Robotics ",3,4,Meenakshi Verma
S00019,Vihaan Menon,Humanities,M.Tech," Psychology,AI & ML ",4,7,Swati Sharma
S00020,Aarohi Iyer,Management,PhD," Cyber Security,IoT ",2,6,Harish Reddy
S00021,Navya Kulkarni,Management,B.Tech," Entrepreneurship,Data Science ",4,2,Pooja Reddy
S00022,Ishaan Iyer,Mechanical,M.Sc," Data Science,Digital Marketing ",2,2,Vivek Menon
S00023,Navya Saxena,Computer Science,M.Sc," Entrepreneurship,Environmental Science ",4,1,Sneha Patil
S00024,Shaurya Malhotra,Management,BBA," Entrepreneurship,Cloud Computing ",3,6,Vivek Menon
S00025,Ananya Krishnan,Humanities,M.Tech," Data Science,AI & ML ",4,6,Ajay Saxena
S00026,Reyansh Desai,Mechanical,MBA," Cloud Computing,Robotics ",3,8,Priya Rao
S00027,Krishna Menon,Humanities,PhD," English Literature,AI & ML ",2,4,Chetan Kapoor
S00028,Krishna Kulkarni,Mechanical,B.Sc," Cyber Security,Robotics ",2,8,Kavya Patil
S00029,Ananya Kulkarni,Biotechnology,M.Sc," Environmental Science,English Literature ",4,5,Gopal Babu
S00030,Pari Saxena,Management,B.Tech," English Literature,Philosophy ",4,3,Varun Patil
S00031,Vivaan Reddy,Humanities,M.Sc," Entrepreneurship,History ",3,4,Sneha Saxena
S00032,Shaurya Reddy,Economics,B.Sc," Cyber Security,Cloud Computing ",1,7,Vivek Joshi
S00033,Aditya Patil,Mechanical,BBA," Cloud Computing,Econometrics ",2,6,Harish Reddy
S00034,Anika Mehta,Economics,M.Tech," History,Robotics ",2,3,Kiran Sharma
S00035,Ishaan Krishnan,Biotechnology,M.Tech," Philosophy,Cyber Security ",2,1,Anjali Reddy
S00036,Shaurya Joshi,Mechanical,B.Sc," Environmental Science,AI & ML ",2,6,Rajeev Reddy
S00037,Sai Kapoor,Computer Science,B.Tech," Data Science,Cyber Security ",3,4,Gopal Babu
S00038,Sai Saxena,Computer Science,BBA," IoT,Data Science ",2,2,Deepak Desai
S00039,Arjun Nair,Humanities,M.Sc," Robotics,IoT ",2,6,Pallavi Kapoor
S00040,Pari Sharma,Economics,B.Sc," Environmental Science,Robotics ",4,3,Harish Saxena
S00041,Arjun Joshi,Humanities,M.Tech," Robotics,Cloud Computing ",2,4,Sudhir Menon
S00042,Myra Reddy,Electrical,M.Tech," Environmental Science,Cloud Computing ",1,5,Ajay Krishnan
S00043,Sai Sharma,Economics,BBA," Cloud Computing,History ",2,4,Rajeev Reddy
S00044,Navya Iyer,Biotechnology,PhD," Robotics,English Literature ",3,4,Ramesh Singh
S00045,Riya Joshi,Electrical,M.Tech," AI & ML,Econometrics ",4,5,Smita Rao
S00046,Aditya Reddy,Electrical,BBA," Digital Marketing,Psychology ",4,5,Sneha Patil
S00047,Aditi Sharma,Mechanical,M.Tech," Robotics,Digital Marketing ",4,8,Sunita Rao
S00048,Vihaan Kulkarni,Electrical,BBA," Digital Marketing,English Literature ",2,6,Harish Reddy
S00049,Ishaan Babu,Electrical,B.Sc," Psychology,Data Science ",1,6,Varun Verma
S00050,Aditi Saxena,Civil,BBA," IoT,English Literature ",2,6,Ashok Sharma
S00051,Aditi Mehta,Civil,PhD," History,Econometrics ",4,6,Nitin Krishnan
S00052,Sai Babu,Economics,B.Sc," Digital Marketing,History ",4,1,Swati Sharma
S00053,Krishna Kulkarni,Civil,M.Tech," Econometrics,Philosophy ",2,6,Vivek Rao
S00054,Riya Kapoor,Humanities,M.Sc," AI & ML,Econometrics ",3,8,Sunita Verma
S00055,Vivaan Nair,Biotechnology,B.Tech," Robotics,IoT ",2,8,Sudhir Malhotra
S00056,Sai Nair,Biotechnology,B.Sc," IoT,English Literature ",4,8,Rohini Krishnan
S00057,Pari Yadav,Management,BBA," Robotics,History ",2,2,Varun Patil
S00058,Aditi Desai,Economics,B.Tech," Digital Marketing,IoT ",3,8,Sneha Kapoor
S00059,Aarohi Krishnan,Mechanical,B.Tech," AI & ML,Cyber Security ",4,7,Varun Patil
S00060,Vihaan Malhotra,Management,BBA," AI & ML,Philosophy ",2,4,Manish Malhotra
S00061,Aarav Iyer,Humanities,B.Tech," Psychology,English Literature ",4,5,Deepak Joshi
S00062,Reyansh Kapoor,Civil,PhD," Entrepreneurship,History ",5,10,Ajay Saxena
S00063,Reyansh Verma,Civil,M.Sc," Econometrics,Psychology ",3,5,Meera Gupta
S00064,Shaurya Mehta,Management,B.Sc," English Literature,Entrepreneurship ",2,4,Ramesh Singh
S00065,Aditya Patil,Electrical,M.Sc," Cyber Security,Digital Marketing ",4,1,Kavita Menon
S00066,Aarav Patil,Computer Science,B.Sc," History,Philosophy ",4,6,Ajay Sharma
S00067,Vihaan Reddy,Biotechnology,M.Sc," Cyber Security,History ",4,4,Vivek Rao
S00068,Anika Desai,Biotechnology,M.Tech," Philosophy,Digital Marketing ",4,5,Ajay Krishnan
S00069,Aarohi Patil,Mechanical,B.Sc," Philosophy,Digital Marketing ",4,8,Kavya Iyer
S00070,Aditya Mehta,Computer Science,M.Tech," Econometrics,Entrepreneurship ",3,7,Shilpa Desai
S00071,Aarohi Joshi,Civil,M.Tech," Digital Marketing,AI & ML ",2,3,Alok Sharma
S00072,Arjun Babu,Economics,M.Tech," Entrepreneurship,IoT ",4,4,Neha Babu
S00073,Aditya Yadav,Mechanical,M.Sc," Philosophy,Cyber Security ",2,1,Ravi Desai
S00074,Ananya Kapoor,Economics,M.Tech," Econometrics,Entrepreneurship ",1,5,Ajay Sharma
S00075,Pari Reddy,Mechanical,PhD," Philosophy,Entrepreneurship ",3,4,Smita Yadav
S00076,Ira Yadav,Mechanical,B.Sc," Econometrics,AI & ML ",4,6,Sneha Saxena
S00077,Aditi Gupta,Computer Science,B.Tech," Environmental Science,AI & ML ",4,2,Sudhir Menon
S00078,Vihaan Mehta,Biotechnology,MBA," Econometrics,Cyber Security ",2,4,Anjali Reddy
S00079,Krishna Saxena,Civil,B.Tech," AI & ML,Data Science ",4,6,Vivek Joshi
S00080,Arjun Reddy,Humanities,M.Sc," Environmental Science,Cloud Computing ",2,2,Sneha Gupta
S00081,Vihaan Saxena,Management,B.Tech," Econometrics,Cloud Computing ",1,3,Deepak Joshi
S00082,Anika Menon,Mechanical,M.Tech," English Literature,Psychology ",2,4,Sneha Joshi
S00083,Sai Iyer,Biotechnology,PhD," Robotics,History ",1,4,Swati Joshi
S00084,Aarav Babu,Civil,MBA," Digital Marketing,Data Science ",3,1,Vivek Menon
S00085,Ishaan Iyer,Economics,PhD," Econometrics,Cloud Computing ",2,6,Chetan Kapoor
S00086,Aditi Krishnan,Humanities,M.Tech," Psychology,Entrepreneurship ",1,2,Vivek Menon
S00087,Vivaan Gupta,Civil,B.Tech," Environmental Science,Entrepreneurship ",1,4,Divya Saxena
S00088,Arjun Mehta,Mechanical,M.Sc," English Literature,Philosophy ",3,5,Vivek Menon
S00089,Aditi Sharma,Electrical,PhD," Data Science,Robotics ",3,7,Sunita Verma
S00090,Aditi Kapoor,Mechanical,B.Tech," IoT,Environmental Science ",3,6,Ravi Desai
S00091,Anika Desai,Civil,M.Tech," Cyber Security,History ",4,6,Sunita Malhotra
S00092,Aditya Kulkarni,Economics,PhD," Cyber Security,Environmental Science ",2,7,Shilpa Joshi
S00093,Ananya Menon,Biotechnology,PhD," Psychology,Cloud Computing ",5,10,Vivek Joshi
S00094,Aarav Malhotra,Mechanical,B.Tech," Environmental Science,Econometrics ",2,8,Sneha Gupta
S00095,Arjun Saxena,Mechanical,M.Sc," Data Science,Robotics ",2,2,Sneha Patil
S00096,Riya Yadav,Management,MBA," Digital Marketing,IoT ",4,5,Gopal Babu
S00097,Krishna Yadav,Economics,M.Sc," AI & ML,Psychology ",3,7,Vivek Menon
S00098,Vivaan Babu,Biotechnology,PhD," English Literature,Cyber Security ",4,9,Ajay Saxena
S00099,Aditi Iyer,Mechanical,M.Tech," Cyber Security,Econometrics ",3,3,Anita Singh
S00100,Sai Desai,Civil,B.Tech," Entrepreneurship,Digital Marketing ",4,8,Anjali Reddy
S00101,Sai Sharma,Computer Science,MBA," Psychology,Philosophy ",2,8,Arjun Singh
S00102,Sai Desai,Computer Science,MBA," Robotics,History ",2,8,Manish Malhotra
S00103,Aarav Verma,Economics,MBA," Robotics,IoT ",1,4,Monica Yadav
S00104,Aditi Reddy,Mechanical,B.Tech," English Literature,Psychology ",1,3,Anjali Patil
S00105,Ira Menon,Computer Science,B.Sc," English Literature,Psychology ",1,2,Sneha Joshi
S00106,Aditi Kulkarni,Management,M.Sc," English Literature,History ",2,7,Smita Rao
